Condition,Medicine Names,Purpose
Myoclonic seizures,"Valproate, Clonazepam",Enhance GABA effects to control sudden muscle jerks.
Lennox-Gastaut syndrome,"Rufinamide, Clobazam",Prolong sodium channel inactivation and enhance GABA activity.
Infantile spasms (West syndrome),"ACTH (Adrenocorticotropic Hormone), Vigabatrin",Hormonal therapy and increase inhibitory effects by inhibiting GABA breakdown.
Febrile seizures,Diazepam,Provide acute control by enhancing GABA activity.
Pain Management (Non-Opioid Analgesics),"Acetaminophen (Tylenol), Ibuprofen (Advil, Motrin), Naproxen (Aleve), Aspirin","Mild to moderate pain relief, inflammation reduction"
Pain Management (Opioid Analgesics),"Morphine (MS Contin, Roxanol), Hydrocodone (Vicodin, Norco), Oxycodone (OxyContin, Percocet), Fentanyl (Duragesic, Sublimaze), Codeine","Severe pain relief, often post-surgery"
Local Anesthesia,"Lidocaine (Xylocaine), Bupivacaine (Marcaine), Ropivacaine (Naropin)",Local numbing during procedures or fracture treatment
Muscle Relaxants,"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen","To relieve muscle spasms, often associated with fractures"
Pre-surgery Antibiotics,"Cefazolin (Ancef), Cephalexin (Keflex), Clindamycin (Cleocin)",Prophylactic antibiotics to prevent infections before surgery
Post-surgery Antibiotics,"Ciprofloxacin (Cipro), Amoxicillin, Vancomycin, Clindamycin",To treat or prevent infections after surgery
Blood Thinners,"Heparin, Enoxaparin (Lovenox), Warfarin (Coumadin), Rivaroxaban (Xarelto)","To prevent blood clots after surgery, especially in immobilized patients"
Corticosteroids (Anti-inflammatory),"Prednisone, Dexamethasone, Methylprednisolone (Medrol)","To reduce inflammation, swelling, and pain after surgery or fractures"
Anti-inflammatory Drugs,"Celecoxib (Celebrex), Diclofenac (Voltaren), Meloxicam (Mobic), Indomethacin (Indocin)","To reduce inflammation and pain, especially post-surgery or for fracture-related inflammation"
Bone Health Medications,"Calcium, Vitamin D3, Alendronate (Fosamax), Risedronate (Actonel), Ibandronate (Boniva), Zoledronic acid (Reclast)",To promote bone healing and prevent further fractures
Anxiolytics (Pre-surgery),"Diazepam (Valium), Lorazepam (Ativan), Midazolam (Versed), Alprazolam (Xanax)","To reduce anxiety before surgery, helping with relaxation"
Antiplatelet Agents,"Aspirin, Clopidogrel (Plavix), Ticagrelor (Brilinta), Prasugrel (Effient)","To prevent blood clots, especially in coronary artery disease, post-stroke, or post-heart attack"
Anticoagulants (Blood Thinners),"Warfarin (Coumadin), Apixaban (Eliquis), Rivaroxaban (Xarelto), Dabigatran (Pradaxa), Edoxaban (Savaysa)","To prevent and treat blood clots, atrial fibrillation, and other clot-related conditions"
Beta-Blockers,"Metoprolol (Lopressor, Toprol XL), Atenolol (Tenormin), Carvedilol (Coreg), Bisoprolol (Zebeta), Propranolol (Inderal)","To manage high blood pressure, reduce heart rate, prevent arrhythmias, and manage heart failure"
ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors),"Enalapril (Vasotec), Lisinopril (Prinivil, Zestril), Ramipril (Altace), Captopril (Capoten), Benazepril (Lotensin)","To treat high blood pressure, heart failure, and chronic kidney disease"
ARBs (Angiotensin II Receptor Blockers),"Losartan (Cozaar), Valsartan (Diovan), Olmesartan (Benicar), Irbesartan (Avapro), Telmisartan (Micardis)","To manage high blood pressure, heart failure, and prevent kidney damage in diabetes"
Calcium Channel Blockers,"Amlodipine (Norvasc), Diltiazem (Cardizem), Verapamil (Calan), Nifedipine (Procardia), Felodipine (Plendil)","To treat high blood pressure, angina, and arrhythmias"
Diuretics,"Furosemide (Lasix), Hydrochlorothiazide (HCTZ), Spironolactone (Aldactone), Bumetanide (Bumex)","To reduce fluid buildup in heart failure, hypertension, and edema"
Statins (HMG-CoA Reductase Inhibitors),"Atorvastatin (Lipitor), Simvastatin (Zocor), Rosuvastatin (Crestor), Pravastatin (Pravachol), Lovastatin (Mevacor)","To lower cholesterol and reduce the risk of heart attack, stroke, and other cardiovascular diseases"
Nitrates,"Nitroglycerin, Isosorbide dinitrate, Isosorbide mononitrate",To relieve angina (chest pain) and improve blood flow to the heart
Antiarrhythmic Drugs,"Amiodarone (Cordarone), Flecainide (Tambocor), Sotalol (Betapace), Propafenone (Rythmol)",To treat abnormal heart rhythms (arrhythmias)
Vasodilators,"Hydralazine, Minoxidil, Sodium Nitroprusside",To relax blood vessels and improve blood flow in conditions like heart failure
Heart Failure Medications,"Digoxin (Lanoxin), Sacubitril/Valsartan (Entresto), Ivabradine (Corlanor)","To treat heart failure, improve heart function, and reduce hospitalizations"
Cholesterol Absorption Inhibitors,Ezetimibe (Zetia),To reduce cholesterol absorption from the intestines and lower LDL cholesterol
PCSK9 Inhibitors,"Alirocumab (Praluent), Evolocumab (Repatha)",To lower LDL cholesterol in patients with familial hypercholesterolemia or those at high risk of cardiovascular events
Potassium Channel Openers,Ivabradine (Corlanor),To slow heart rate in chronic heart failure or angina
Antithrombotic Agents,"Fondaparinux (Arixtra), Dabigatran (Pradaxa), Enoxaparin (Lovenox)","To prevent and treat blood clots, especially after surgery or in deep vein thrombosis (DVT)"
Antihypertensive Agents (Other),"Clonidine (Catapres), Hydralazine, Methyldopa",For the management of high blood pressure in various settings
Antidepressants,"Selective Serotonin Reuptake Inhibitors (SSRIs): Fluoxetine (Prozac), Sertraline (Zoloft), Paroxetine (Paxil), Citalopram (Celexa), Escitalopram (Lexapro)","Used for treating depression, anxiety disorders, and other mood disorders"
Major Depressive Disorder (MDD),"Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs): Venlafaxine (Effexor), Duloxetine (Cymbalta)","Treat depression and anxiety by increasing the levels of serotonin and norepinephrine in the brain, which helps regulate mood and alleviate symptoms of mental health conditions."
Migraine Prophylaxis,"Tricyclic Antidepressants (TCAs): Amitriptyline, Nortriptyline (Pamelor), Imipramine (Tofranil)","Treat depression by increasing the levels of serotonin and norepinephrine in the brain while blocking acetylcholine, which helps improve mood, alleviate depressive symptoms, and reduce anxiety."
Anxiolytics (Anti-anxiety),"Diazepam (Valium), Lorazepam (Ativan), Clonazepam (Klonopin), Alprazolam (Xanax), Buspirone (Buspar)","Used for managing anxiety, panic attacks, and acute stress"
Antipsychotics,"Olanzapine (Zyprexa), Risperidone (Risperdal), Quetiapine (Seroquel), Aripiprazole (Abilify), Clozapine (Clozaril)","Used for managing schizophrenia, bipolar disorder, and other psychotic disorders"
Mood Stabilizers,"Lithium (Lithobid), Valproic Acid (Depakote), Lamotrigine (Lamictal), Carbamazepine (Tegretol), Topiramate (Topamax)",Used for treating mood disorders such as bipolar disorder
Cognitive Enhancers (for Alzheimer's and Dementia),"Donepezil (Aricept), Rivastigmine (Exelon), Galantamine (Razadyne), Memantine (Namenda)",To manage symptoms of Alzheimer's disease and other dementias
Stimulants (for ADHD),"Methylphenidate (Ritalin, Concerta), Amphetamine/Dextroamphetamine (Adderall, Mydayis), Dexmethylphenidate (Focalin), Lisdexamfetamine (Vyvanse)",Used for treating attention-deficit hyperactivity disorder (ADHD)
Antiepileptics (Anticonvulsants),"Phenytoin (Dilantin), Valproic acid (Depakote), Carbamazepine (Tegretol), Levetiracetam (Keppra), Lamotrigine (Lamictal), Topiramate (Topamax), Gabapentin (Neurontin)",Used for preventing and treating seizures and epilepsy
Parkinson’s Disease Medications,"Levodopa/Carbidopa (Sinemet), Pramipexole (Mirapex), Ropinirole (Requip), Bromocriptine (Parlodel), Selegiline (Eldepryl), Entacapone (Comtan)",Used for managing symptoms of Parkinson's disease
Alzheimer’s Disease & Dementia Medications,"Donepezil (Aricept), Rivastigmine (Exelon), Galantamine (Razadyne), Memantine (Namenda)",Used to improve cognition and memory in Alzheimer's disease and other dementias
Migraine Medications,"Triptans: Sumatriptan (Imitrex), Rizatriptan (Maxalt), Zolmitriptan (Zomig)",To treat and prevent migraine headaches
Cluster Headaches,"Ergotamine derivatives: Ergotamine (Cafergot), Dihydroergotamine (DHE 45)",Treat acute migraine and cluster headaches by constricting blood vessels in the brain and reducing inflammation.
"Arthritis (Osteoarthritis, Rheumatoid Arthritis)","Anti-inflammatory drugs: Ibuprofen, Naproxen (Aleve), Acetaminophen (Tylenol)","Relieve pain, reduce inflammation (except Acetaminophen, which is not anti-inflammatory), and lower fever."
Multiple Sclerosis Medications,"Interferon beta (Avonex, Rebif), Glatiramer acetate (Copaxone), Dimethyl fumarate (Tecfidera), Natalizumab (Tysabri), Fingolimod (Gilenya)",Used for managing symptoms and progression of multiple sclerosis
Sleep Disorders Medications,"Benzodiazepines: Temazepam (Restoril), Triazolam (Halcion)",To treat insomnia and other sleep disorders
Insomnia,"Non-benzodiazepine hypnotics: Zolpidem (Ambien), Eszopiclone (Lunesta), Zaleplon (Sonata)","Treat insomnia by helping with sleep initiation, maintenance, or both."
Insomnia (particularly difficulty with sleep onset).,Melatonin receptor agonists: Ramelteon (Rozerem),"To regulate sleep-wake cycles by mimicking the action of melatonin, promoting sleep onset without causing sedation or dependence."
Chronic Pain & Neuropathic Pain Medications,"Gabapentin (Neurontin), Pregabalin (Lyrica), Duloxetine (Cymbalta), Amitriptyline (Elavil), Nortriptyline (Pamelor)","Used for managing chronic pain, including neuropathic pain"
Stroke Medications,"Clopidogrel (Plavix), Aspirin, Dipyridamole (Persantine), Ticagrelor (Brilinta), Warfarin (Coumadin), Rivaroxaban (Xarelto), Apixaban (Eliquis)",Used for secondary prevention after a stroke or TIA (transient ischemic attack)
"Brain Surgery (Anesthesia, Pre and Post Surgery)","Propofol (Diprivan), Sevoflurane (Ultane), Isoflurane, Fentanyl (Sublimaze), Ketamine, Remifentanil","Used for general anesthesia during surgery, and for pain management and sedation post-surgery"
"Brain Surgery (Pain Management, Pre and Post Surgery)","Acetaminophen (Tylenol), Ibuprofen (Advil, Motrin), Gabapentin (Neurontin), Oxycodone (OxyContin), Morphine (MS Contin), Hydromorphone (Dilaudid)","To manage pain before and after brain surgery, including neuropathic pain relief"
"Brain Surgery (Antibiotics, Pre and Post Surgery)","Cefazolin (Ancef), Clindamycin (Cleocin), Cephalexin (Keflex), Ceftriaxone (Rocephin), Vancomycin",To prevent or treat infections during and after brain surgery
"Brain Surgery (Anticonvulsants, Seizure Prevention, Pre and Post Surgery)","Levetiracetam (Keppra), Phenytoin (Dilantin), Valproic acid (Depakote), Lamotrigine (Lamictal)",To prevent seizures after brain surgery or if at risk of seizures
"Brain Surgery (Steroids, Pre and Post Surgery)","Dexamethasone (Decadron), Methylprednisolone (Medrol), Prednisone",To reduce inflammation and swelling around the brain post-surgery
"Brain Surgery (Blood Thinners, Pre and Post Surgery)","Heparin, Enoxaparin (Lovenox), Warfarin (Coumadin), Apixaban (Eliquis), Rivaroxaban (Xarelto)","To prevent blood clots before and after brain surgery, especially in high-risk patients"
"Heart Surgery (Anesthesia, Pre and Post Surgery)","Propofol (Diprivan), Sevoflurane (Ultane), Isoflurane, Fentanyl (Sublimaze), Ketamine, Remifentanil","Used for general anesthesia during surgery, and for pain management and sedation post-surgery"
"Heart Surgery (Pain Management, Pre and Post Surgery)","Acetaminophen (Tylenol), Ibuprofen (Advil, Motrin), Gabapentin (Neurontin), Oxycodone (OxyContin), Morphine (MS Contin), Hydromorphone (Dilaudid)","To manage pain before and after heart surgery, including chronic pain relief post-surgery"
"Heart Surgery (Antibiotics, Pre and Post Surgery)","Cefazolin (Ancef), Clindamycin (Cleocin), Cephalexin (Keflex), Ceftriaxone (Rocephin), Vancomycin","To prevent infections during and after heart surgery, especially for surgical site infections"
"Heart Surgery (Blood Thinners, Pre and Post Surgery)","Heparin, Enoxaparin (Lovenox), Warfarin (Coumadin), Apixaban (Eliquis), Rivaroxaban (Xarelto)","To prevent blood clots before and after heart surgery, especially in high-risk patients"
"Heart Surgery (Antiplatelet Agents, Post Surgery)","Aspirin, Clopidogrel (Plavix), Ticagrelor (Brilinta), Prasugrel (Effient)",To prevent blood clots and minimize the risk of heart attack or stroke after heart surgery
"Heart Surgery (Beta-Blockers, Post Surgery)","Metoprolol (Lopressor), Atenolol (Tenormin), Carvedilol (Coreg), Bisoprolol (Zebeta)","To reduce heart rate and blood pressure after heart surgery, improving recovery and preventing complications"
"Heart Surgery (Statins, Post Surgery)","Atorvastatin (Lipitor), Simvastatin (Zocor), Rosuvastatin (Crestor), Pravastatin (Pravachol)",To lower cholesterol and prevent further heart complications after surgery
"Heart Surgery (Corticosteroids, Post Surgery)","Dexamethasone (Decadron), Methylprednisolone (Medrol)",Used post-surgery to reduce inflammation and swelling around the heart
"Heart Surgery (Antiemetics, Post Surgery)","Ondansetron (Zofran), Metoclopramide (Reglan)",To prevent nausea and vomiting following heart surgery
Acid Reflux (GERD),"Omeprazole (Prilosec), Esomeprazole (Nexium), Lansoprazole (Prevacid), Pantoprazole (Protonix), Rabeprazole (AcipHex), Ranitidine (Zantac), Famotidine (Pepcid), Tums, Maalox, Rolaids",Proton pump inhibitors (PPIs) and H2 blockers to reduce stomach acid production and relieve symptoms of heartburn and reflux. Antacids for temporary relief of acid.
Peptic Ulcers,"Omeprazole (Prilosec), Esomeprazole (Nexium), Lansoprazole (Prevacid), Pantoprazole (Protonix), Ranitidine (Zantac), Sucralfate (Carafate), Bismuth subsalicylate (Pepto-Bismol), Clarithromycin, Amoxicillin, Metronidazole","To reduce acid and promote healing of the ulcer, along with antibiotics for H. pylori infection to eradicate the bacteria responsible for the ulcer."
Gastritis,"Omeprazole (Prilosec), Lansoprazole (Prevacid), Ranitidine (Zantac), Antacids (e.g., Tums, Maalox), Sucralfate (Carafate), Misoprostol (Cytotec)","To reduce stomach acid, protect the stomach lining, and heal inflammation. Misoprostol used for preventing NSAID-induced gastritis."
Irritable Bowel Syndrome (IBS),"Loperamide (Imodium), Diphenoxylate-atropine (Lomotil), Rifaximin (Xifaxan), Lubiprostone (Amitiza), Linaclotide (Linzess), Alosetron (Lotronex), Dicyclomine (Bentyl)","To relieve symptoms of diarrhea, constipation, bloating, and cramping associated with IBS."
Gastroparesis,"Metoclopramide (Reglan), Erythromycin, Domperidone","To help with delayed gastric emptying, reduce nausea, and improve motility."
Helicobacter Pylori Infection,"Clarithromycin, Amoxicillin, Metronidazole, Tetracycline, Levofloxacin, Bismuth subsalicylate (Pepto-Bismol)",Antibiotic therapy for eradicating H. pylori bacteria in the stomach lining and to promote ulcer healing.
Stomach Pain/Indigestion,"Antacids (e.g., Tums, Maalox), Ranitidine (Zantac), Simethicone (Gas-X), Pepsid (Famotidine), Magnesium hydroxide, Sodium bicarbonate (Alka-Seltzer)","To relieve indigestion, bloating, and gas buildup."
Nausea and Vomiting,"Ondansetron (Zofran), Promethazine (Phenergan), Meclizine (Antivert), Metoclopramide (Reglan), Prochlorperazine (Compazine), Scopolamine",To control nausea and vomiting due to various stomach issues or medications.
Infectious Diarrhea,"Loperamide (Imodium), Diphenoxylate-atropine (Lomotil), Rifaximin (Xifaxan), Azithromycin, Ciprofloxacin",To treat bacterial infections causing diarrhea or to reduce symptoms of diarrhea.
Constipation,"Polyethylene glycol (Miralax), Lactulose, Bisacodyl (Dulcolax), Senna (Ex-Lax), Fiber supplements (e.g., Metamucil), Docusate (Colace)",To relieve constipation and promote regular bowel movements.
Stomach Cancer (Post-surgical Care),"Ondansetron (Zofran), Metoclopramide (Reglan), Antacids, Proton pump inhibitors (e.g., Pantoprazole, Omeprazole), Chemotherapy drugs (e.g., 5-Fluorouracil, Cisplatin, Docetaxel)","To manage nausea, acid reflux, and prevent complications after stomach cancer surgery. Chemotherapy for cancer treatment."
Bloating and Gas,"Simethicone (Gas-X), Activated charcoal, Antacids (e.g., Tums), Ranitidine (Zantac), Lactase supplements","To relieve bloating, excess gas, and discomfort in the stomach and intestines."
Acidic Stomach/Heartburn,"Antacids (e.g., Tums, Maalox, Rolaids), H2 blockers (e.g., Ranitidine, Famotidine), Proton pump inhibitors (e.g., Omeprazole, Lansoprazole)","To neutralize stomach acid, reduce heartburn symptoms, and prevent acid reflux."
Acid Overproduction (Zollinger-Ellison Syndrome),"Omeprazole (Prilosec), Lansoprazole (Prevacid), Pantoprazole (Protonix), Cimetidine (Tagamet)",To control excessive acid production in the stomach due to Zollinger-Ellison syndrome.
Functional Dyspepsia (Non-ulcer Stomach Pain),"Proton pump inhibitors (e.g., Omeprazole, Lansoprazole), H2 blockers (e.g., Famotidine), Antacids (e.g., Tums, Maalox), Prokinetic agents (e.g., Metoclopramide)","To relieve pain, bloating, and discomfort in the upper stomach area."
Stomach Acid Reflux (LPR - Laryngopharyngeal Reflux),"Omeprazole (Prilosec), Lansoprazole (Prevacid), Famotidine (Pepcid), Ranitidine (Zantac), Antacids (e.g., Tums)",To reduce stomach acid and prevent damage to the throat and vocal cords caused by acid reflux.
Hepatitis B,"Tenofovir (Viread), Entecavir (Baraclude), Lamivudine (Epivir), Adefovir (Hepsera), Interferon alfa-2b, Peginterferon alfa-2a (Pegasys), Emtricitabine (Emtriva)",Antiviral medications used to manage and suppress the replication of Hepatitis B virus (HBV).
Hepatitis C,"Sofosbuvir (Sovaldi), Ledipasvir-Sofosbuvir (Harvoni), Simeprevir (Olysio), Daclatasvir (Daklinza), Ribavirin, Paritaprevir-Ritonavir-Ombitasvir (Viekira Pak), Glecaprevir-Pibrentasvir (Mavyret)",Direct-acting antivirals (DAAs) to cure or manage Hepatitis C infection and reduce liver damage.
Fatty Liver Disease (NAFLD/NASH),"Pioglitazone (Actos), Vitamin E, Liraglutide (Saxenda), Obeticholic acid (Ocaliva), Simvastatin (Zocor), Statins, Ursodeoxycholic acid (UDCA)","Drugs to reduce fat accumulation in the liver, inflammation, and improve insulin resistance."
Cirrhosis,"Beta-blockers (e.g., Propranolol, Nadolol), Lactulose, Rifaximin (Xifaxan), Spironolactone (Aldactone), Furosemide (Lasix), Terlipressin","Beta-blockers to prevent variceal bleeding, Lactulose for encephalopathy, and diuretics for fluid retention."
Liver Fibrosis,"Pirfenidone (Esbriet), Nintedanib (Ofev), Obeticholic acid (Ocaliva), Interferon alfa-2b, Pentoxifylline",Drugs to slow the progression of liver fibrosis and reduce liver scarring.
Liver Failure (Acute/Chronic),"N-acetylcysteine (NAC), Liver transplant (if necessary), Albumin, Antibiotics (e.g., Piperacillin-tazobactam, Meropenem)","N-acetylcysteine to treat acute liver failure (especially in acetaminophen overdose), liver transplantation for end-stage failure."
Hepatic Encephalopathy,"Lactulose, Rifaximin (Xifaxan), Neomycin, Metronidazole",To treat hepatic encephalopathy caused by liver cirrhosis and toxins building up in the brain.
"Liver Infections (Abscess, Sepsis)","Antibiotics (e.g., Piperacillin-tazobactam, Meropenem, Ceftriaxone), Antifungals (e.g., Fluconazole, Amphotericin B)",Antibiotics and antifungals to treat bacterial or fungal infections of the liver.
Liver Transplant (Pre/Post-surgery),"Tacrolimus, Cyclosporine, Prednisone, Mycophenolate mofetil (Cellcept), Azathioprine (Imuran), Sirolimus",Immunosuppressive drugs to prevent organ rejection post-liver transplant and manage immune responses.
Alcoholic Liver Disease (ALD),"Disulfiram (Antabuse), Naltrexone (ReVia), Acamprosate (Campral), Prednisone, Pentoxifylline","Medications to reduce alcohol cravings, manage inflammation, and prevent further liver damage."
Liver Toxicity (Drug-induced),"N-acetylcysteine (NAC), Methionine, Ursodeoxycholic acid (UDCA)","Used to treat liver toxicity and protect the liver in cases of drug-induced liver injury (e.g., acetaminophen toxicity)."
Liver Cancer (Hepatocellular Carcinoma),"Sorafenib (Nexavar), Lenvatinib (Lenvima), Regorafenib (Stivarga), Atezolizumab (Tecentriq), Nivolumab (Opdivo)","Targeted therapies, immune checkpoint inhibitors, and chemotherapies to treat liver cancer."
Hemochromatosis (Iron Overload),"Deferoxamine (Desferal), Deferasirox (Exjade), Deferiprone (Ferriprox)",Iron chelation therapy to remove excess iron from the liver and prevent further organ damage.
Wilson's Disease (Copper Overload),"Penicillamine, Trientine, Zinc acetate, Ammonium tetrathiomolybdate",Drugs to decrease copper accumulation in the liver and other organs in Wilson's disease.
Cholestasis (Impaired Bile Flow),"Ursodeoxycholic acid (UDCA), Cholestyramine, Rifampin, Naltrexone",To improve bile flow and reduce symptoms of itching and jaundice caused by cholestasis.
Irritable Bowel Syndrome (IBS),"Loperamide (Imodium), Diphenoxylate-atropine (Lomotil), Rifaximin (Xifaxan), Lubiprostone (Amitiza), Linaclotide (Linzess), Alosetron (Lotronex), Dicyclomine (Bentyl)","To relieve symptoms of diarrhea, constipation, bloating, and cramping."
Crohn's Disease,"Mesalamine (Asacol), Sulfasalazine (Azulfidine), Prednisone, Budesonide (Entocort EC), Infliximab (Remicade), Adalimumab (Humira), Azathioprine (Imuran), Methotrexate",To reduce inflammation and immune response in Crohn’s disease.
Ulcerative Colitis,"Mesalamine (Lialda), Sulfasalazine (Azulfidine), Infliximab (Remicade), Vedolizumab (Entyvio), Tofacitinib (Xeljanz), Azathioprine (Imuran), Prednisone, Budesonide",To treat inflammation and manage symptoms of ulcerative colitis.
Infectious Diarrhea,"Azithromycin, Ciprofloxacin, Metronidazole, Rifaximin (Xifaxan), Loperamide (Imodium)",To treat bacterial infections causing diarrhea or to reduce diarrhea symptoms.
Constipation,"Polyethylene glycol (Miralax), Lactulose, Bisacodyl (Dulcolax), Senna (Ex-Lax), Fiber supplements (e.g., Metamucil), Docusate (Colace)",To relieve constipation and promote bowel movements.
Celiac Disease,"Gluten-free diet (primary treatment), Dapsone (for dermatitis herpetiformis)","Gluten avoidance to manage autoimmune response, Dapsone for skin symptoms."
Small Intestinal Bacterial Overgrowth (SIBO),"Rifaximin (Xifaxan), Metronidazole, Neomycin",Antibiotics to reduce bacterial overgrowth in the small intestine.
Intestinal Worm Infections,"Albendazole (Albenza), Mebendazole (Vermox), Ivermectin (Stromectol), Praziquantel (Biltricide)","Antiparasitic drugs to eliminate worm infections such as hookworm, roundworm, and tapeworm."
Diverticulitis,"Ciprofloxacin, Metronidazole (Flagyl), Amoxicillin-Clavulanate (Augmentin), Trimethoprim-Sulfamethoxazole (Bactrim)",Antibiotics to treat infection and inflammation of diverticula.
Colorectal Cancer (Adjuvant Therapy),"5-Fluorouracil (5-FU), Capecitabine (Xeloda), Oxaliplatin, Bevacizumab (Avastin)",Chemotherapy drugs to manage or treat colorectal cancer.
Intestinal Obstruction,"Metoclopramide (Reglan), Nasogastric decompression, IV fluids, Antibiotics (e.g., Piperacillin-tazobactam)",Supportive treatment for partial obstructions; antibiotics to prevent infections.
Inflammatory Bowel Disease (IBD),"Mesalamine (Apriso), Prednisone, Azathioprine (Imuran), Infliximab (Remicade), Ustekinumab (Stelara)",To control inflammation and manage chronic intestinal conditions like Crohn’s and ulcerative colitis.
Anal Fissures,"Lidocaine ointment, Nifedipine cream, Nitroglycerin ointment",To relieve pain and promote healing of anal fissures.
Hemorrhoids,"Hydrocortisone suppositories, Lidocaine, Witch hazel (Tucks pads), Phenylephrine (Preparation H)","To reduce swelling, pain, and irritation in hemorrhoids."
Intestinal Perforation,"Broad-spectrum antibiotics (e.g., Piperacillin-tazobactam, Meropenem), Surgery","Antibiotics to prevent sepsis, surgical intervention to repair the perforation."
Lactose Intolerance,"Lactase enzyme supplements, Calcium and Vitamin D supplements",To manage symptoms of lactose intolerance and prevent deficiencies.
Appendicitis (Pre/Post-Surgery),"Cefoxitin, Cefazolin, Piperacillin-tazobactam, Metronidazole (Flagyl)",Antibiotics to prevent or treat infection before or after surgery.
Gas and Bloating,"Simethicone (Gas-X), Activated charcoal, Alpha-galactosidase (Beano)",To relieve symptoms of gas and bloating.
Whipple's Disease,"Ceftriaxone, Trimethoprim-Sulfamethoxazole (Bactrim)",Long-term antibiotics to treat Tropheryma whipplei infection.
Ischemic Bowel Disease,"Anticoagulants (e.g., Heparin, Warfarin), Thrombolytics (e.g., Alteplase), Antibiotics",To restore blood flow and prevent infections in ischemic bowel.
Short Bowel Syndrome,"Teduglutide (Gattex), Loperamide (Imodium), Vitamins and nutrient supplementation",To improve nutrient absorption and manage diarrhea in patients with short bowel syndrome.
Liver (Pre-surgery),"Vitamin K, Fresh Frozen Plasma, Ceftriaxone, Piperacillin-Tazobactam","To manage coagulation, prevent bleeding, and prevent infections."
Liver (Post-surgery),"Tacrolimus, Cyclosporine, Prednisone, Mycophenolate Mofetil, Ceftriaxone","Immunosuppressants to prevent rejection, antibiotics to prevent infection."
Stomach (Pre-surgery),"Omeprazole, Pantoprazole, Metronidazole, Cefazolin","Proton pump inhibitors to reduce acid, antibiotics to prevent infection."
Stomach (Post-surgery),"Ranitidine, Sucralfate, Pantoprazole, Ondansetron, Ceftriaxone","To manage acid secretion, promote healing, prevent nausea, and prevent infections."
Intestines (Pre-surgery),"Metronidazole, Neomycin, Ceftriaxone, Piperacillin-Tazobactam","Antibiotics to prevent infection, especially in bowel preparations."
Intestines (Post-surgery),"Rifaximin, Ciprofloxacin, Metronidazole, Ceftriaxone, Ondansetron","To prevent or treat infections, manage nausea, and promote recovery."
Chronic Kidney Disease (CKD),"Erythropoietin-stimulating agents (Epoetin alfa, Darbepoetin alfa), Iron supplements (Ferrous sulfate), Sevelamer, Calcitriol, Sodium bicarbonate, Furosemide (Lasix), Torsemide","To treat anemia, manage mineral imbalances, and reduce fluid overload."
Acute Kidney Injury (AKI),"Furosemide, Mannitol, Sodium bicarbonate, Insulin with glucose, Calcium gluconate","To manage fluid overload, electrolyte imbalances, and metabolic acidosis."
Hypertensive Nephropathy,"ACE inhibitors (Lisinopril, Enalapril), ARBs (Losartan, Valsartan), Amlodipine",To control blood pressure and reduce kidney damage.
Diabetic Nephropathy,"ACE inhibitors (Lisinopril, Enalapril), ARBs (Losartan, Valsartan), Sodium-glucose cotransporter-2 inhibitors (Canagliflozin, Dapagliflozin)","To control blood pressure, reduce proteinuria, and manage blood sugar."
